community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Klaarwater,9,9,9,0,2023-02-15,2026-08-31,0,1.0,1.0,1.0,100.0,High
Shallcross,8,8,8,0,2023-07-08,2026-08-31,0,1.0,0.9955223880597015,1.0,99.77611940298507,High
Umlazi,6,6,6,0,2023-10-12,2026-08-31,0,1.0,0.9850746268656716,1.0,99.25373134328356,High
Folweni,6,6,6,0,2023-10-12,2026-08-31,0,1.0,0.9850746268656716,1.0,99.25373134328356,High
Northdene,4,4,4,0,2025-01-15,2026-08-31,0,1.0,0.9223880597014925,1.0,96.11940298507461,High
Chatsworth,4,4,4,0,2023-10-12,2026-08-31,0,1.0,0.9223880597014925,1.0,96.11940298507461,High
Malvern,4,4,4,0,2025-01-15,2026-08-31,0,1.0,0.9223880597014925,1.0,96.11940298507461,High
Queensburgh,4,4,4,0,2023-10-12,2026-07-13,49,1.0,0.9223880597014925,0.8743744388437276,92.35063615038645,High
Amanzimtoti CBD,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Almond,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
KwaSoni,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Mfume,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Illovo Beach,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
KwaMakhutha,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Mashiwase,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Mkhazini,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Nkwali,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Doonside,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Bhekulwandle,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Umnini,4,4,4,0,2023-06-22,2026-06-10,82,1.0,0.9223880597014925,0.7987897300493081,90.08309488655387,High
Nsimbini,3,3,3,0,2025-01-15,2026-08-31,0,1.0,0.8014925373134328,1.0,90.07462686567165,High
Athlone Park,6,6,5,1,2023-06-22,2026-06-10,82,0.8333333333333334,0.9850746268656716,0.7987897300493081,89.88408991142948,High
Savannah Park,8,8,8,0,2023-02-15,2026-04-02,151,1.0,0.9955223880597015,0.6612001870523703,89.61212501455617,High
Luganda,6,6,6,0,2023-02-15,2026-04-02,151,1.0,0.9850746268656716,0.6612001870523703,89.08973695485469,High
Ezimbokodweni,5,5,4,1,2023-06-22,2026-06-10,82,0.8,0.9716417910447761,0.7987897300493081,88.54578145371805,High
Welbedacht West,6,6,6,0,2023-02-15,2026-03-15,169,1.0,0.9850746268656716,0.6293840107503325,88.13525166579355,High
Moseley Park,3,3,3,0,2025-01-15,2026-07-13,49,1.0,0.8014925373134328,0.8743744388437276,86.30586003098347,High
Mount Vernon,3,3,3,0,2025-01-15,2026-07-13,49,1.0,0.8014925373134328,0.8743744388437276,86.30586003098347,High
Hillary,3,3,3,0,2025-01-15,2026-07-13,49,1.0,0.8014925373134328,0.8743744388437276,86.30586003098347,High
Nagina,4,4,4,0,2023-07-08,2026-04-02,151,1.0,0.9223880597014925,0.6612001870523703,85.95540859664574,High
Umhlanga,4,4,4,0,2023-09-19,2026-03-15,169,1.0,0.9223880597014925,0.6293840107503325,85.0009233075846,High
Ntuzuma,4,4,4,0,2023-05-14,2026-03-15,169,1.0,0.9223880597014925,0.6293840107503325,85.0009233075846,High
Crossmoor,4,4,4,0,2023-07-08,2026-03-15,169,1.0,0.9223880597014925,0.6293840107503325,85.0009233075846,High
Durban North,4,4,4,0,2023-09-19,2026-03-15,169,1.0,0.9223880597014925,0.6293840107503325,85.0009233075846,High
Panorama Park,3,3,3,0,2023-06-22,2026-06-10,82,1.0,0.8014925373134328,0.7987897300493081,84.03831876715088,High
Umgababa,3,3,3,0,2023-06-22,2026-06-10,82,1.0,0.8014925373134328,0.7987897300493081,84.03831876715088,High
Woodhurst,5,5,4,1,2023-07-08,2026-03-15,169,0.8,0.9716417910447761,0.6293840107503325,83.46360987474878,High
Isiphingo Hills,4,4,3,1,2023-06-22,2026-05-15,108,0.75,0.9223880597014925,0.7438689434377121,83.435471288206,High
Isiphingo Beach,4,4,3,1,2023-06-22,2026-05-15,108,0.75,0.9223880597014925,0.7438689434377121,83.435471288206,High
Nsizwakazi,3,3,3,0,2023-02-15,2026-04-02,151,1.0,0.8014925373134328,0.6612001870523703,79.91063247724274,High
Mawelewele,3,3,3,0,2023-10-12,2026-04-02,151,1.0,0.8014925373134328,0.6612001870523703,79.91063247724274,High
Ensimbini,2,2,2,0,2026-04-02,2026-07-31,31,1.0,0.6313432835820896,0.9185751983563217,79.12442012979413,High
Risecliff,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Phoenix,3,3,3,0,2023-10-12,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Arena Park,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
La Lucia,3,3,3,0,2023-09-19,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Moorton,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Welbedacht East,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
KwaMashu,3,3,3,0,2023-10-12,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Montford,3,3,3,0,2023-07-08,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Inteke,3,3,3,0,2023-02-15,2026-03-15,169,1.0,0.8014925373134328,0.6293840107503325,78.95614718818163,High
Prospecton Industrial,4,4,2,2,2023-06-22,2026-05-15,108,0.5,0.9223880597014925,0.7438689434377121,78.43547128820599,High
Queensmead Industrial,2,2,2,0,2025-01-15,2026-07-13,49,1.0,0.6313432835820896,0.8743744388437276,77.79839734441629,High
Kingsway Hospital,3,3,2,1,2025-12-01,2026-06-10,82,0.6666666666666666,0.8014925373134328,0.7987897300493081,77.37165210048421,High
Isiphingo Rail,3,3,2,1,2023-06-22,2026-05-15,108,0.6666666666666666,0.8014925373134328,0.7438689434377121,75.72402850213633,High
Ekuhlengeni Psychiatric Hospital,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Lewis Drive,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Lower Illovo,2,2,2,0,2024-12-12,2026-06-10,82,1.0,0.6313432835820896,0.7987897300493081,75.53085608058372,High
Ehlanzeni,5,5,5,0,2023-06-22,2025-01-15,593,1.0,0.9716417910447761,0.19697912225789477,74.49146321997564,High
Springfield,3,3,2,1,2024-02-15,2026-03-15,169,0.6666666666666666,0.8014925373134328,0.6293840107503325,72.28948052151495,High
Inanda,3,3,2,1,2023-10-12,2026-03-15,169,0.6666666666666666,0.8014925373134328,0.6293840107503325,72.28948052151495,High
Adams Mission,4,4,4,0,2023-05-14,2024-12-12,627,1.0,0.9223880597014925,0.17945905208296484,71.50317454756356,High
Coedmore,3,3,2,1,2025-01-15,2026-02-06,206,0.6666666666666666,0.8014925373134328,0.568710613761671,70.4692786118551,High
Westmead,2,2,2,0,2023-05-14,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Mountview,2,2,2,0,2024-08-25,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Pinetown,2,2,2,0,2023-10-12,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
Effingham,2,2,2,0,2023-09-19,2026-03-15,169,1.0,0.6313432835820896,0.6293840107503325,70.44868450161445,High
