week,affected_area_records,incident_count,unique_areas,unplanned_records,planned_records
2023-02-13,14,1,14,14,0
2023-02-20,0,0,0,0,0
2023-02-27,0,0,0,0,0
2023-03-06,0,0,0,0,0
2023-03-13,0,0,0,0,0
2023-03-20,0,0,0,0,0
2023-03-27,0,0,0,0,0
2023-04-03,0,0,0,0,0
2023-04-10,0,0,0,0,0
2023-04-17,0,0,0,0,0
2023-04-24,0,0,0,0,0
2023-05-01,0,0,0,0,0
2023-05-08,39,1,39,39,0
2023-05-15,0,0,0,0,0
2023-05-22,0,0,0,0,0
2023-05-29,0,0,0,0,0
2023-06-05,0,0,0,0,0
2023-06-12,0,0,0,0,0
2023-06-19,48,1,48,48,0
2023-06-26,0,0,0,0,0
2023-07-03,29,1,29,29,0
2023-07-10,0,0,0,0,0
2023-07-17,0,0,0,0,0
2023-07-24,4,1,4,4,0
2023-07-31,17,1,17,17,0
2023-08-07,0,0,0,0,0
2023-08-14,0,0,0,0,0
2023-08-21,0,0,0,0,0
2023-08-28,0,0,0,0,0
2023-09-04,0,0,0,0,0
2023-09-11,0,0,0,0,0
2023-09-18,30,2,25,30,0
2023-09-25,0,0,0,0,0
2023-10-02,0,0,0,0,0
2023-10-09,27,1,27,27,0
2023-10-16,0,0,0,0,0
2023-10-23,0,0,0,0,0
2023-10-30,0,0,0,0,0
2023-11-06,0,0,0,0,0
2023-11-13,0,0,0,0,0
2023-11-20,0,0,0,0,0
2023-11-27,0,0,0,0,0
2023-12-04,0,0,0,0,0
2023-12-11,0,0,0,0,0
2023-12-18,0,0,0,0,0
2023-12-25,0,0,0,0,0
2024-01-01,0,0,0,0,0
2024-01-08,0,0,0,0,0
2024-01-15,0,0,0,0,0
2024-01-22,0,0,0,0,0
2024-01-29,0,0,0,0,0
2024-02-05,0,0,0,0,0
2024-02-12,15,1,15,0,15
2024-02-19,0,0,0,0,0
2024-02-26,0,0,0,0,0
2024-03-04,0,0,0,0,0
2024-03-11,0,0,0,0,0
2024-03-18,0,0,0,0,0
2024-03-25,0,0,0,0,0
2024-04-01,0,0,0,0,0
2024-04-08,0,0,0,0,0
2024-04-15,13,1,13,0,13
2024-04-22,0,0,0,0,0
2024-04-29,0,0,0,0,0
2024-05-06,0,0,0,0,0
2024-05-13,0,0,0,0,0
2024-05-20,0,0,0,0,0
2024-05-27,41,1,41,41,0
2024-06-03,10,1,10,10,0
2024-06-10,7,1,7,7,0
2024-06-17,0,0,0,0,0
2024-06-24,0,0,0,0,0
2024-07-01,0,0,0,0,0
2024-07-08,0,0,0,0,0
2024-07-15,0,0,0,0,0
2024-07-22,19,1,19,19,0
2024-07-29,0,0,0,0,0
2024-08-05,0,0,0,0,0
2024-08-12,0,0,0,0,0
2024-08-19,7,1,7,7,0
2024-08-26,0,0,0,0,0
2024-09-02,0,0,0,0,0
2024-09-09,0,0,0,0,0
2024-09-16,0,0,0,0,0
2024-09-23,0,0,0,0,0
2024-09-30,14,1,14,0,14
2024-10-07,0,0,0,0,0
2024-10-14,0,0,0,0,0
2024-10-21,19,2,19,13,6
2024-10-28,0,0,0,0,0
2024-11-04,0,0,0,0,0
2024-11-11,0,0,0,0,0
2024-11-18,0,0,0,0,0
2024-11-25,0,0,0,0,0
2024-12-02,0,0,0,0,0
2024-12-09,60,1,60,60,0
2024-12-16,0,0,0,0,0
2024-12-23,0,0,0,0,0
2024-12-30,0,0,0,0,0
2025-01-06,0,0,0,0,0
2025-01-13,43,1,43,43,0
2025-01-20,0,0,0,0,0
2025-01-27,0,0,0,0,0
2025-02-03,0,0,0,0,0
2025-02-10,0,0,0,0,0
