record_id,event_id,event_date,year,month,municipality,province,country,event_category,planned_flag,affected_area_as_published,affected_area_normalized,affected_flag,source_title,source_url,source_type,data_note
1,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Inteke,Inteke,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
2,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Intake Emasayithini,Intake Emasayithini,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
3,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Demat,Demat,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
4,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Welbedacht West,Welbedacht West,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
5,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Luganda,Luganda,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
6,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Nsizwakazi,Nsizwakazi,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
7,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Savannah Park,Savannah Park,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
8,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Khoseleni,Khoseleni,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
9,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Klaarwater,Klaarwater,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
10,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Parts of Mariannridge,Mariannridge,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
11,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Hlanganisisa Road,Hlanganisisa Road,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
12,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Fig Road,Fig Road,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
13,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Progress Road,Progress Road,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
14,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,KwaDabeka,KwaDabeka,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
15,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Umbumbulu,Umbumbulu,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
16,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Adams Mission,Adams Mission,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
17,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,KwaXimba,KwaXimba,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
18,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Cato Ridge,Cato Ridge,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
19,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Georgedale,Georgedale,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
20,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Hammersdale,Hammersdale,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
21,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Mpumalanga,Mpumalanga,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
